,name1,name2,Site
17099,gut gut Acidaminococcus massiliensis,gut Acidaminococcus massiliensis,Oral
17159,gut gut Acidiphilium sp. CAG:727,gut Acidiphilium sp. CAG:727,Oral
17180,gut gut Acinetobacter sp. N54.MGS-139 / Proteobacteria bacterium CAG:139,gut Acinetobacter sp. N54.MGS-139 / Proteobacteria bacterium CAG:139,Oral
17210,gut gut Actinomyces oris,gut Actinomyces oris,Oral
17233,gut gut Adlercreutzia equolifaciens,gut Adlercreutzia equolifaciens,Oral
17279,gut gut Akkermansia muciniphila,gut Akkermansia muciniphila,Oral
17323,gut gut Akkermansia sp. CAG:344,gut Akkermansia sp. CAG:344,Oral
17374,gut gut Alistipes finegoldii,gut Alistipes finegoldii,Oral
17446,gut gut Alistipes ihumii,gut Alistipes ihumii,Oral
17518,gut gut Alistipes indistinctus,gut Alistipes indistinctus,Oral
17563,gut gut Alistipes inops == Tidjanibacter massiliensis,gut Alistipes inops == Tidjanibacter massiliensis,Oral
17654,gut gut Alistipes obesi,gut Alistipes obesi,Oral
17722,gut gut Alistipes onderdonkii,gut Alistipes onderdonkii,Oral
17762,gut gut Alistipes putredinis,gut Alistipes putredinis,Oral
17851,gut gut Alistipes senegalensis,gut Alistipes senegalensis,Oral
17918,gut gut Alistipes shahii,gut Alistipes shahii,Oral
17998,gut gut Alistipes sp. An31A,gut Alistipes sp. An31A,Oral
18079,gut gut Alistipes sp. CAG:268,gut Alistipes sp. CAG:268,Oral
18154,gut gut Alistipes sp. CAG:435,gut Alistipes sp. CAG:435,Oral
18237,gut gut Alistipes sp. CAG:514,gut Alistipes sp. CAG:514,Oral
18265,gut gut Alistipes timonensis,gut Alistipes timonensis,Oral
18313,gut gut Allisonella histaminiformans,gut Allisonella histaminiformans,Oral
18347,gut gut Anaerococcus obesiensis == vaginalis,gut Anaerococcus obesiensis == vaginalis,Oral
18364,gut gut Anaerofilum sp. An201,gut Anaerofilum sp. An201,Oral
18384,gut gut Anaerofustis stercorihominis,gut Anaerofustis stercorihominis,Oral
18390,gut gut Anaeroglobus geminatus,gut Anaeroglobus geminatus,Oral
18417,gut gut Anaeromassilibacillus sp. An172,gut Anaeromassilibacillus sp. An172,Oral
18433,gut gut Anaeromassilibacillus sp. An250,gut Anaeromassilibacillus sp. An250,Oral
18484,gut gut Anaeromassilibacillus sp. Marseille-P3371 & Clostridia bacterium UC5.1-1E11,gut Anaeromassilibacillus sp. Marseille-P3371 & Clostridia bacterium UC5.1-1E11,Oral
18534,gut gut Anaerostipes caccae,gut Anaerostipes caccae,Oral
18570,gut gut Anaerostipes hadrus 1,gut Anaerostipes hadrus 1,Oral
18584,gut gut Anaerostipes hadrus 2,gut Anaerostipes hadrus 2,Oral
18629,gut gut Anaerotignum lactatifermentans,gut Anaerotignum lactatifermentans,Oral
18639,gut gut Anaerotruncus colihominis,gut Anaerotruncus colihominis,Oral
18649,gut gut Anaerotruncus sp. CAG:528,gut Anaerotruncus sp. CAG:528,Oral
18667,gut gut Atopobium parvulum,gut Atopobium parvulum,Oral
18704,gut gut Atopobium parvulum 2,gut Atopobium parvulum 2,Oral
18728,gut gut Azospirillum sp. 51_20,gut Azospirillum sp. 51_20,Oral
18785,gut gut Azospirillum sp. CAG:239,gut Azospirillum sp. CAG:239,Oral
18835,gut gut Bacteroidales bacterium 55_9,gut Bacteroidales bacterium 55_9,Oral
18856,gut gut Bacteroidales bacterium H8 & H9 & Prevotella sp. CAG:279,gut Bacteroidales bacterium H8 & H9 & Prevotella sp. CAG:279,Oral
18922,gut gut Bacteroides caccae,gut Bacteroides caccae,Oral
18970,gut gut Bacteroides cellulosilyticus,gut Bacteroides cellulosilyticus,Oral
19000,gut gut Bacteroides clarus,gut Bacteroides clarus,Oral
19054,gut gut Bacteroides congonensis,gut Bacteroides congonensis,Oral
19084,gut gut Bacteroides coprocola,gut Bacteroides coprocola,Oral
19127,gut gut Bacteroides coprophilus,gut Bacteroides coprophilus,Oral
19182,gut gut Bacteroides dorei,gut Bacteroides dorei,Oral
19221,gut gut Bacteroides eggerthii,gut Bacteroides eggerthii,Oral
19267,gut gut Bacteroides faecis,gut Bacteroides faecis,Oral
19301,gut gut Bacteroides finegoldii,gut Bacteroides finegoldii,Oral
19341,gut gut Bacteroides fragilis 1,gut Bacteroides fragilis 1,Oral
19358,gut gut Bacteroides fragilis 2,gut Bacteroides fragilis 2,Oral
19363,gut gut Bacteroides massiliensis,gut Bacteroides massiliensis,Oral
19404,gut gut Bacteroides nordii,gut Bacteroides nordii,Oral
19453,gut gut Bacteroides ovatus,gut Bacteroides ovatus,Oral
19473,gut gut Bacteroides plebeius,gut Bacteroides plebeius,Oral
19555,gut gut Bacteroides salyersiae,gut Bacteroides salyersiae,Oral
19602,gut gut Bacteroides sp. An19 & An51A & An269 & An279 & CAG:702,gut Bacteroides sp. An19 & An51A & An269 & An279 & CAG:702,Oral
19641,gut gut Bacteroides sp. CAG:144,gut Bacteroides sp. CAG:144,Oral
19671,gut gut Bacteroides sp. CAG:709,gut Bacteroides sp. CAG:709,Oral
19684,gut gut Bacteroides sp. CAG:770,gut Bacteroides sp. CAG:770,Oral
19755,gut gut Bacteroides sp. Marseille-P3108 & CAG:633,gut Bacteroides sp. Marseille-P3108 & CAG:633,Oral
19776,gut gut Bacteroides sp. Marseille-P3166 & CAG:598,gut Bacteroides sp. Marseille-P3166 & CAG:598,Oral
19813,gut gut Bacteroides stercorirosoris,gut Bacteroides stercorirosoris,Oral
19834,gut gut Bacteroides stercoris,gut Bacteroides stercoris,Oral
19858,gut gut Bacteroides thetaiotaomicron,gut Bacteroides thetaiotaomicron,Oral
19881,gut gut Bacteroides uniformis,gut Bacteroides uniformis,Oral
19929,gut gut Bacteroides vulgatus,gut Bacteroides vulgatus,Oral
19958,gut gut Bacteroides xylanisolvens,gut Bacteroides xylanisolvens,Oral
20000,gut gut Barnesiella intestinihominis,gut Barnesiella intestinihominis,Oral
20069,gut gut Barnesiella sp. An22,gut Barnesiella sp. An22,Oral
20087,gut gut Bifidobacterium adolescentis,gut Bifidobacterium adolescentis,Oral
20114,gut gut Bifidobacterium angulatum,gut Bifidobacterium angulatum,Oral
20155,gut gut Bifidobacterium animalis,gut Bifidobacterium animalis,Oral
20182,gut gut Bifidobacterium bifidum,gut Bifidobacterium bifidum,Oral
20224,gut gut Bifidobacterium breve,gut Bifidobacterium breve,Oral
20253,gut gut Bifidobacterium catenulatum,gut Bifidobacterium catenulatum,Oral
20281,gut gut Bifidobacterium dentium,gut Bifidobacterium dentium,Oral
20319,gut gut Bifidobacterium longum,gut Bifidobacterium longum,Oral
20349,gut gut Bifidobacterium pseudocatenulatum,gut Bifidobacterium pseudocatenulatum,Oral
20391,gut gut Bifidobacterium scardovii,gut Bifidobacterium scardovii,Oral
20405,gut gut Bilophila wadsworthia,gut Bilophila wadsworthia,Oral
20445,gut gut Blautia hansenii,gut Blautia hansenii,Oral
20462,gut gut Blautia hydrogenotrophica,gut Blautia hydrogenotrophica,Oral
20515,gut gut Blautia massiliensis,gut Blautia massiliensis,Oral
20571,gut gut Blautia obeum,gut Blautia obeum,Oral
20669,gut gut Blautia producta,gut Blautia producta,Oral
20698,gut gut Blautia producta 2,gut Blautia producta 2,Oral
20715,gut gut Blautia sp. 2789STDY5608796 & sp. 2789STDY5608848,gut Blautia sp. 2789STDY5608796 & sp. 2789STDY5608848,Oral
20809,gut gut Blautia sp. 2789STDY5834862,gut Blautia sp. 2789STDY5834862,Oral
20865,gut gut Blautia sp. CAG:237,gut Blautia sp. CAG:237,Oral
20915,gut gut Blautia sp. CAG:257,gut Blautia sp. CAG:257,Oral
20968,gut gut Blautia sp. CAG:52 & sp. 2789STDY5834917,gut Blautia sp. CAG:52 & sp. 2789STDY5834917,Oral
21039,gut gut Blautia sp. Marseille-P3087 / Ruminococcus sp. 2789STDY5608882,gut Blautia sp. Marseille-P3087 / Ruminococcus sp. 2789STDY5608882,Oral
21135,gut gut Blautia wexlerae,gut Blautia wexlerae,Oral
21139,gut gut Butyricicoccus pullicaecorum,gut Butyricicoccus pullicaecorum,Oral
21155,gut gut Butyricicoccus sp. 2789STDY5834927 / Clostridia bacterium UC5.1-1D1,gut Butyricicoccus sp. 2789STDY5834927 / Clostridia bacterium UC5.1-1D1,Oral
21194,gut gut Butyricicoccus sp. N15.MGS-46 & N54.MGS-46 & K4410.MGS-46,gut Butyricicoccus sp. N15.MGS-46 & N54.MGS-46 & K4410.MGS-46,Oral
21268,gut gut Butyricimonas synergistica 2,gut Butyricimonas synergistica 2,Oral
21327,gut gut Butyricimonas virosa,gut Butyricimonas virosa,Oral
21373,gut gut Campylobacter concisus 2,gut Campylobacter concisus 2,Oral
21400,gut gut Catabacter hongkongensis,gut Catabacter hongkongensis,Oral
21413,gut gut Catenibacterium sp. CAG:290,gut Catenibacterium sp. CAG:290,Oral
21495,gut gut Christensenella minuta,gut Christensenella minuta,Oral
21527,gut gut Christensenellaceae bacterium Phil1 & Clostridium sp. CAG:226,gut Christensenellaceae bacterium Phil1 & Clostridium sp. CAG:226,Oral
21598,gut gut Cloacibacillus evryensis,gut Cloacibacillus evryensis,Oral
21611,gut gut Cloacibacillus porcorum,gut Cloacibacillus porcorum,Oral
21699,gut gut Clostridia bacterium UC5.1-1D10 / Clostridium sp. CAG:505 / Firmicutes bacterium CAG:466,gut Clostridia bacterium UC5.1-1D10 / Clostridium sp. CAG:505 / Firmicutes bacterium CAG:466,Oral
21736,gut gut Clostridia bacterium UC5.1-2E3,gut Clostridia bacterium UC5.1-2E3,Oral
21781,gut gut Clostridiales bacterium 1_7_47FAA  & VE202-28,gut Clostridiales bacterium 1_7_47FAA  & VE202-28,Oral
21800,gut gut Clostridiales bacterium 41_21_two_genomes,gut Clostridiales bacterium 41_21_two_genomes,Oral
21861,gut gut Clostridiales bacterium UBA643,gut Clostridiales bacterium UBA643,Oral
21931,gut gut Clostridium asparagiforme == lavalense,gut Clostridium asparagiforme == lavalense,Oral
21944,gut gut Clostridium bolteae,gut Clostridium bolteae,Oral
21988,gut gut Clostridium butyricum,gut Clostridium butyricum,Oral
21994,gut gut Clostridium celatum,gut Clostridium celatum,Oral
22008,gut gut Clostridium citroniae,gut Clostridium citroniae,Oral
22025,gut gut Clostridium clostridioforme 1,gut Clostridium clostridioforme 1,Oral
22056,gut gut Clostridium clostridioforme 2,gut Clostridium clostridioforme 2,Oral
22074,gut gut Clostridium disporicum,gut Clostridium disporicum,Oral
22118,gut gut Clostridium glycyrrhizinilyticum,gut Clostridium glycyrrhizinilyticum,Oral
22129,gut gut Clostridium hylemonae,gut Clostridium hylemonae,Oral
22176,gut gut Clostridium innocuum,gut Clostridium innocuum,Oral
22208,gut gut Clostridium leptum,gut Clostridium leptum,Oral
22276,gut gut Clostridium neonatale,gut Clostridium neonatale,Oral
22293,gut gut Clostridium paraputrificum,gut Clostridium paraputrificum,Oral
22309,gut gut Clostridium perfringens,gut Clostridium perfringens,Oral
22347,gut gut Clostridium phoceensis,gut Clostridium phoceensis,Oral
22416,gut gut Clostridium saccharolyticum 2,gut Clostridium saccharolyticum 2,Oral
22444,gut gut Clostridium saudiense,gut Clostridium saudiense,Oral
22483,gut gut Clostridium scindens 1,gut Clostridium scindens 1,Oral
22502,gut gut Clostridium scindens 2,gut Clostridium scindens 2,Oral
22539,gut gut Clostridium sp. 26_22,gut Clostridium sp. 26_22,Oral
22560,gut gut Clostridium sp. 2789STDY5608793,gut Clostridium sp. 2789STDY5608793,Oral
22569,gut gut Clostridium sp. 2789STDY5608831,gut Clostridium sp. 2789STDY5608831,Oral
22594,gut gut Clostridium sp. 2789STDY5608884,gut Clostridium sp. 2789STDY5608884,Oral
22641,gut gut Clostridium sp. 2789STDY5834874 & sp. 2789STDY5608885,gut Clostridium sp. 2789STDY5834874 & sp. 2789STDY5608885,Oral
22740,gut gut Clostridium sp. 2789STDY5834920,gut Clostridium sp. 2789STDY5834920,Oral
22753,gut gut Clostridium sp. 2789STDY5834924,gut Clostridium sp. 2789STDY5834924,Oral
22811,gut gut Clostridium sp. 27_14,gut Clostridium sp. 27_14,Oral
22858,gut gut Clostridium sp. 28_12 & CAG:356,gut Clostridium sp. 28_12 & CAG:356,Oral
22901,gut gut Clostridium sp. 28_17 & CAG:470,gut Clostridium sp. 28_17 & CAG:470,Oral
22946,gut gut Clostridium sp. 29_15 & CAG:265,gut Clostridium sp. 29_15 & CAG:265,Oral
22961,gut gut Clostridium sp. 42_12 & CAG:75,gut Clostridium sp. 42_12 & CAG:75,Oral
23008,gut gut Clostridium sp. AT4,gut Clostridium sp. AT4,Oral
23075,gut gut Clostridium sp. CAG:127,gut Clostridium sp. CAG:127,Oral
23142,gut gut Clostridium sp. CAG:138,gut Clostridium sp. CAG:138,Oral
23230,gut gut Clostridium sp. CAG:167,gut Clostridium sp. CAG:167,Oral
23304,gut gut Clostridium sp. CAG:169,gut Clostridium sp. CAG:169,Oral
23394,gut gut Clostridium sp. CAG:217,gut Clostridium sp. CAG:217,Oral
23450,gut gut Clostridium sp. CAG:221,gut Clostridium sp. CAG:221,Oral
23455,gut gut Clostridium sp. CAG:230,gut Clostridium sp. CAG:230,Oral
23488,gut gut Clostridium sp. CAG:245,gut Clostridium sp. CAG:245,Oral
23555,gut gut Clostridium sp. CAG:253,gut Clostridium sp. CAG:253,Oral
23629,gut gut Clostridium sp. CAG:269,gut Clostridium sp. CAG:269,Oral
23696,gut gut Clostridium sp. CAG:273,gut Clostridium sp. CAG:273,Oral
23751,gut gut Clostridium sp. CAG:288,gut Clostridium sp. CAG:288,Oral
23769,gut gut Clostridium sp. CAG:299,gut Clostridium sp. CAG:299,Oral
23839,gut gut Clostridium sp. CAG:302,gut Clostridium sp. CAG:302,Oral
23870,gut gut Clostridium sp. CAG:343,gut Clostridium sp. CAG:343,Oral
23922,gut gut Clostridium sp. CAG:352 / Ruminicoccus sp. 2789STDY5834969 & sp. 2789STDY5608859,gut Clostridium sp. CAG:352 / Ruminicoccus sp. 2789STDY5834969 & sp. 2789STDY5608859,Oral
23970,gut gut Clostridium sp. CAG:354_28_25,gut Clostridium sp. CAG:354_28_25,Oral
24032,gut gut Clostridium sp. CAG:389,gut Clostridium sp. CAG:389,Oral
24062,gut gut Clostridium sp. CAG:411,gut Clostridium sp. CAG:411,Oral
24092,gut gut Clostridium sp. CAG:43,gut Clostridium sp. CAG:43,Oral
24169,gut gut Clostridium sp. CAG:433,gut Clostridium sp. CAG:433,Oral
24185,gut gut Clostridium sp. CAG:440,gut Clostridium sp. CAG:440,Oral
24215,gut gut Clostridium sp. CAG:451,gut Clostridium sp. CAG:451,Oral
24248,gut gut Clostridium sp. CAG:465,gut Clostridium sp. CAG:465,Oral
24282,gut gut Clostridium sp. CAG:508,gut Clostridium sp. CAG:508,Oral
24303,gut gut Clostridium sp. CAG:524,gut Clostridium sp. CAG:524,Oral
24336,gut gut Clostridium sp. CAG:568,gut Clostridium sp. CAG:568,Oral
24406,gut gut Clostridium sp. CAG:575,gut Clostridium sp. CAG:575,Oral
24436,gut gut Clostridium sp. CAG:58,gut Clostridium sp. CAG:58,Oral
24502,gut gut Clostridium sp. CAG:62,gut Clostridium sp. CAG:62,Oral
24570,gut gut Clostridium sp. CAG:628,gut Clostridium sp. CAG:628,Oral
24623,gut gut Clostridium sp. CAG:7,gut Clostridium sp. CAG:7,Oral
24682,gut gut Clostridium sp. CAG:91 & sp. 2789STDY5834873,gut Clostridium sp. CAG:91 & sp. 2789STDY5834873,Oral
24758,gut gut Clostridium sp. CAG:914,gut Clostridium sp. CAG:914,Oral
24791,gut gut Clostridium sp. KLE 1755 & Clostridiales bacterium VE202-27,gut Clostridium sp. KLE 1755 & Clostridiales bacterium VE202-27,Oral
24847,gut gut Clostridium spiroforme,gut Clostridium spiroforme,Oral
24868,gut gut Clostridium symbiosum,gut Clostridium symbiosum,Oral
24902,gut gut Colibacter massiliensis,gut Colibacter massiliensis,Oral
24929,gut gut Collinsella aerofaciens,gut Collinsella aerofaciens,Oral
24970,gut gut Collinsella bouchesdurhonensis,gut Collinsella bouchesdurhonensis,Oral
25009,gut gut Collinsella intestinalis,gut Collinsella intestinalis,Oral
25038,gut gut Collinsella tanakaei,gut Collinsella tanakaei,Oral
25061,gut gut Coprobacillus cateniformis,gut Coprobacillus cateniformis,Oral
25065,gut gut Coprobacillus sp. 8_1_38FAA / Clostridium sp. 2789STDY5608874,gut Coprobacillus sp. 8_1_38FAA / Clostridium sp. 2789STDY5608874,Oral
25109,gut gut Coprobacter fastidiosus,gut Coprobacter fastidiosus,Oral
25140,gut gut Coprobacter secundus == Gabonia massiliensis,gut Coprobacter secundus == Gabonia massiliensis,Oral
25177,gut gut Coprococcus catus,gut Coprococcus catus,Oral
25274,gut gut Coprococcus comes,gut Coprococcus comes,Oral
25351,gut gut Coprococcus eutactus 1,gut Coprococcus eutactus 1,Oral
25421,gut gut Coprococcus eutactus 2,gut Coprococcus eutactus 2,Oral
25471,gut gut Coprococcus sp. 2789STDY5608819 / Clostridium sp. CAG:264,gut Coprococcus sp. 2789STDY5608819 / Clostridium sp. CAG:264,Oral
25540,gut gut Coprococcus sp. HPP0074 & HPP0048 / Lachnospiraceae bacterium 9_1_43BFAA & 6_1_37FAA,gut Coprococcus sp. HPP0074 & HPP0048 / Lachnospiraceae bacterium 9_1_43BFAA & 6_1_37FAA,Oral
25565,gut gut Cryptobacterium sp. CAG:338,gut Cryptobacterium sp. CAG:338,Oral
25613,gut gut Dakarella massiliensis,gut Dakarella massiliensis,Oral
25660,gut gut Desulfovibrio fairfieldensis,gut Desulfovibrio fairfieldensis,Oral
25681,gut gut Desulfovibrio piger,gut Desulfovibrio piger,Oral
25739,gut gut Desulfovibrio sp. 92-2,gut Desulfovibrio sp. 92-2,Oral
25832,gut gut Desulfovibrio sp. An276,gut Desulfovibrio sp. An276,Oral
25871,gut gut Dialister invisus,gut Dialister invisus,Oral
25895,gut gut Dialister sp. CAG:357,gut Dialister sp. CAG:357,Oral
25931,gut gut Dialister sp. CAG:486,gut Dialister sp. CAG:486,Oral
25985,gut gut Dialister succinatiphilus,gut Dialister succinatiphilus,Oral
26046,gut gut Dielma fastidiosa,gut Dielma fastidiosa,Oral
26058,gut gut Dorea formicigenerans,gut Dorea formicigenerans,Oral
26121,gut gut Dorea longicatena 1,gut Dorea longicatena 1,Oral
26214,gut gut Dorea longicatena 2,gut Dorea longicatena 2,Oral
26285,gut gut Dorea sp. CAG:105,gut Dorea sp. CAG:105,Oral
26360,gut gut Dorea sp. CAG:317,gut Dorea sp. CAG:317,Oral
26427,gut gut Drancourtella sp. An12 & An57,gut Drancourtella sp. An12 & An57,Oral
26437,gut gut Duodenibacillus massiliensis,gut Duodenibacillus massiliensis,Oral
26449,gut gut Eggerthella lenta,gut Eggerthella lenta,Oral
26494,gut gut Eggerthella sp. 51_9 & CAG:209,gut Eggerthella sp. 51_9 & CAG:209,Oral
26542,gut gut Eggerthella sp. CAG:298,gut Eggerthella sp. CAG:298,Oral
26567,gut gut Eggerthella sp. CAG:368,gut Eggerthella sp. CAG:368,Oral
26668,gut gut Eisenbergiella tayi,gut Eisenbergiella tayi,Oral
26692,gut gut Enterobacter cloacae complex 'Hoffmann cluster IV',gut Enterobacter cloacae complex 'Hoffmann cluster IV',Oral
26706,gut gut Enterobacter kobei,gut Enterobacter kobei,Oral
26724,gut gut Enterobacter ludwigii,gut Enterobacter ludwigii,Oral
26742,gut gut Enterobacter xiangfangensis,gut Enterobacter xiangfangensis,Oral
26748,gut gut Enterococcus avium,gut Enterococcus avium,Oral
26793,gut gut Enterococcus faecalis,gut Enterococcus faecalis,Oral
26816,gut gut Enterococcus faecium,gut Enterococcus faecium,Oral
26829,gut gut Enterococcus gallinarum,gut Enterococcus gallinarum,Oral
26847,gut gut Erysipelatoclostridium ramosum,gut Erysipelatoclostridium ramosum,Oral
26913,gut gut Erysipelotrichaceae bacterium 3_1_53,gut Erysipelotrichaceae bacterium 3_1_53,Oral
26930,gut gut Erysipelotrichaceae bacterium 5_2_54FAA / Eubacterium sp. 3_1_31,gut Erysipelotrichaceae bacterium 5_2_54FAA / Eubacterium sp. 3_1_31,Oral
26951,gut gut Escherichia coli,gut Escherichia coli,Oral
27026,gut gut Eubacteriaceae bacterium CHKCI004 & Eubacterium sp. An3,gut Eubacteriaceae bacterium CHKCI004 & Eubacterium sp. An3,Oral
27043,gut gut Eubacterium dolichum,gut Eubacterium dolichum,Oral
27056,gut gut Eubacterium eligens,gut Eubacterium eligens,Oral
27091,gut gut Eubacterium hallii,gut Eubacterium hallii,Oral
27164,gut gut Eubacterium ramulus,gut Eubacterium ramulus,Oral
27273,gut gut Eubacterium rectale,gut Eubacterium rectale,Oral
27325,gut gut Eubacterium siraeum,gut Eubacterium siraeum,Oral
27350,gut gut Eubacterium sp. 36_13 & CAG:86,gut Eubacterium sp. 36_13 & CAG:86,Oral
27429,gut gut Eubacterium sp. 38_16 & CAG:146,gut Eubacterium sp. 38_16 & CAG:146,Oral
27483,gut gut Eubacterium sp. CAG:115,gut Eubacterium sp. CAG:115,Oral
27576,gut gut Eubacterium sp. CAG:156,gut Eubacterium sp. CAG:156,Oral
27639,gut gut Eubacterium sp. CAG:161,gut Eubacterium sp. CAG:161,Oral
27690,gut gut Eubacterium sp. CAG:180,gut Eubacterium sp. CAG:180,Oral
27755,gut gut Eubacterium sp. CAG:192,gut Eubacterium sp. CAG:192,Oral
27820,gut gut Eubacterium sp. CAG:248,gut Eubacterium sp. CAG:248,Oral
27881,gut gut Eubacterium sp. CAG:251 / Clostridium sp. A254.MGS-251,gut Eubacterium sp. CAG:251 / Clostridium sp. A254.MGS-251,Oral
27947,gut gut Eubacterium sp. CAG:252,gut Eubacterium sp. CAG:252,Oral
27972,gut gut Eubacterium sp. CAG:274,gut Eubacterium sp. CAG:274,Oral
27985,gut gut Eubacterium sp. CAG:38,gut Eubacterium sp. CAG:38,Oral
28005,gut gut Eubacterium ventriosum,gut Eubacterium ventriosum,Oral
28076,gut gut Faecalibacterium prausnitzii 1 (A2-165),gut Faecalibacterium prausnitzii 1 (A2-165),Oral
28111,gut gut Faecalibacterium prausnitzii 2,gut Faecalibacterium prausnitzii 2,Oral
28147,gut gut Faecalibacterium prausnitzii 3 ( L2-6),gut Faecalibacterium prausnitzii 3 ( L2-6),Oral
28178,gut gut Faecalibacterium prausnitzii 4 (cf. KLE1255),gut Faecalibacterium prausnitzii 4 (cf. KLE1255),Oral
28241,gut gut Faecalibacterium prausnitzii 5,gut Faecalibacterium prausnitzii 5,Oral
28279,gut gut Faecalibacterium prausnitzii 6,gut Faecalibacterium prausnitzii 6,Oral
28368,gut gut Faecalibacterium prausnitzii 7,gut Faecalibacterium prausnitzii 7,Oral
28436,gut gut Faecalibacterium sp. CAG:74,gut Faecalibacterium sp. CAG:74,Oral
28527,gut gut Faecalibacterium sp. CAG:82,gut Faecalibacterium sp. CAG:82,Oral
28632,gut gut Faecalicatena contorta,gut Faecalicatena contorta,Oral
28650,gut gut Faecalicatena fissicatena,gut Faecalicatena fissicatena,Oral
28665,gut gut Faecalicoccus pleomorphus,gut Faecalicoccus pleomorphus,Oral
28742,gut gut Faecalitalea cylindroides,gut Faecalitalea cylindroides,Oral
28826,gut gut Faecalitalea sp. UBA637,gut Faecalitalea sp. UBA637,Oral
28881,gut gut Firmicutes bacterium CAG:102,gut Firmicutes bacterium CAG:102,Oral
28962,gut gut Firmicutes bacterium CAG:103,gut Firmicutes bacterium CAG:103,Oral
29039,gut gut Firmicutes bacterium CAG:110,gut Firmicutes bacterium CAG:110,Oral
29127,gut gut Firmicutes bacterium CAG:114,gut Firmicutes bacterium CAG:114,Oral
29190,gut gut Firmicutes bacterium CAG:124,gut Firmicutes bacterium CAG:124,Oral
29295,gut gut Firmicutes bacterium CAG:129,gut Firmicutes bacterium CAG:129,Oral
29399,gut gut Firmicutes bacterium CAG:145,gut Firmicutes bacterium CAG:145,Oral
29452,gut gut Firmicutes bacterium CAG:170,gut Firmicutes bacterium CAG:170,Oral
29497,gut gut Firmicutes bacterium CAG:176,gut Firmicutes bacterium CAG:176,Oral
29600,gut gut Firmicutes bacterium CAG:176_63_11,gut Firmicutes bacterium CAG:176_63_11,Oral
29699,gut gut Firmicutes bacterium CAG:194,gut Firmicutes bacterium CAG:194,Oral
29752,gut gut Firmicutes bacterium CAG:212 / Clostridium sp. 2789STDY5834871,gut Firmicutes bacterium CAG:212 / Clostridium sp. 2789STDY5834871,Oral
29816,gut gut Firmicutes bacterium CAG:227,gut Firmicutes bacterium CAG:227,Oral
29893,gut gut Firmicutes bacterium CAG:238,gut Firmicutes bacterium CAG:238,Oral
29952,gut gut Firmicutes bacterium CAG:24 / Clostridium sp. 2789STDY5834869 & 2789STDY5834922,gut Firmicutes bacterium CAG:24 / Clostridium sp. 2789STDY5834869 & 2789STDY5834922,Oral
30054,gut gut Firmicutes bacterium CAG:240,gut Firmicutes bacterium CAG:240,Oral
30115,gut gut Firmicutes bacterium CAG:272,gut Firmicutes bacterium CAG:272,Oral
30136,gut gut Firmicutes bacterium CAG:321,gut Firmicutes bacterium CAG:321,Oral
30204,gut gut Firmicutes bacterium CAG:341,gut Firmicutes bacterium CAG:341,Oral
30296,gut gut Firmicutes bacterium CAG:345,gut Firmicutes bacterium CAG:345,Oral
30313,gut gut Firmicutes bacterium CAG:41 / Clostridium sp. 2789STDY5834935 & sp. 2789STDY5608853,gut Firmicutes bacterium CAG:41 / Clostridium sp. 2789STDY5834935 & sp. 2789STDY5608853,Oral
30359,gut gut Firmicutes bacterium CAG:65 / Clostridium sp. 2789STDY5608883,gut Firmicutes bacterium CAG:65 / Clostridium sp. 2789STDY5608883,Oral
30390,gut gut Firmicutes bacterium CAG:83,gut Firmicutes bacterium CAG:83,Oral
30473,gut gut Firmicutes bacterium CAG:94,gut Firmicutes bacterium CAG:94,Oral
30501,gut gut Firmicutes bacterium CAG:95,gut Firmicutes bacterium CAG:95,Oral
30552,gut gut Flavonifractor plautii,gut Flavonifractor plautii,Oral
30586,gut gut Flavonifractor sp. 2789STDY5834895 & sp. 2789STDY5834937 /  Clostridium sp. 2789STDY5608878,gut Flavonifractor sp. 2789STDY5834895 & sp. 2789STDY5834937 /  Clostridium sp. 2789STDY5608878,Oral
30645,gut gut Flavonifractor sp. 2789STDY5834931,gut Flavonifractor sp. 2789STDY5834931,Oral
30688,gut gut Flavonifractor sp. An10,gut Flavonifractor sp. An10,Oral
30709,gut gut Fusicatenibacter saccharivorans,gut Fusicatenibacter saccharivorans,Oral
30778,gut gut Fusobacterium mortiferum,gut Fusobacterium mortiferum,Oral
30818,gut gut Fusobacterium nucleatum subsp. animalis,gut Fusobacterium nucleatum subsp. animalis,Oral
30855,gut gut Fusobacterium nucleatum subsp. polymorphum,gut Fusobacterium nucleatum subsp. polymorphum,Oral
30882,gut gut Gemella sanguinis,gut Gemella sanguinis,Oral
30911,gut gut Gemmiger formicilis,gut Gemmiger formicilis,Oral
30981,gut gut Gordonibacter urolithinfaciens,gut Gordonibacter urolithinfaciens,Oral
31029,gut gut Granulicatella adiacens,gut Granulicatella adiacens,Oral
31056,gut gut Haemophilus parainfluenzae,gut Haemophilus parainfluenzae,Oral
31084,gut gut Holdemanella biformis,gut Holdemanella biformis,Oral
31136,gut gut Holdemania filiformis,gut Holdemania filiformis,Oral
31217,gut gut Holdemania massiliensis,gut Holdemania massiliensis,Oral
31251,gut gut Hungatella hathewayi 1,gut Hungatella hathewayi 1,Oral
31260,gut gut Hungatella hathewayi 2,gut Hungatella hathewayi 2,Oral
31302,gut gut Intestinibacter bartlettii,gut Intestinibacter bartlettii,Oral
